date,time,symbol,action,allocation_pct,shares,price,dollar_value,portfolio_value,realized_pnl
2025-08-07,06:31,TQQQ,DECREASE,0,0.0,45.33,0.0,100000.0,0.0
2025-08-07,12:51,TQQQ,INCREASE,5,111.71,44.76,5000.0,100000.0,0.0
2025-08-12,06:15,TQQQ,DECREASE,0,111.71,46.09,5149.32,100149.32,149.32
2025-08-13,06:16,SQQQ,INCREASE,10,124.18,80.65,10014.93,100149.32,0.0
2025-08-13,12:56,SQQQ,DECREASE,0,124.18,81.61,10134.44,100268.83,119.51
2025-08-14,06:37,SQQQ,INCREASE,10,121.5,82.52,10026.88,100268.83,0.0
2025-08-15,12:50,SQQQ,DECREASE,0,121.5,83.1,10097.04,100338.99,70.16
2025-08-19,06:18,TQQQ,INCREASE,5,108.43,46.27,5016.95,100338.99,0.0
2025-08-19,12:50,TQQQ,INCREASE,10,116.34,44.56,5183.89,100153.5,0.0
2025-08-20,06:32,TQQQ,INCREASE,15,114.13,44.3,5056.27,100096.32,0.0
2025-08-21,06:18,TQQQ,INCREASE,20,121.27,43.37,5259.03,99778.56,0.0
2025-08-22,12:51,TQQQ,DECREASE,10,237.07,45.08,10686.35,100565.77,116.83
2025-08-25,12:52,TQQQ,DECREASE,5,110.67,44.68,4944.78,100477.87,10.93
2025-08-28,06:41,TQQQ,DECREASE,0,112.44,45.53,5118.66,100572.64,105.88
2025-08-29,12:50,TQQQ,INCREASE,5,112.83,44.57,5028.63,100572.64,0.0
2025-09-02,06:21,TQQQ,INCREASE,10,123.54,42.45,5243.88,100333.47,0.0
2025-09-03,06:39,TQQQ,DECREASE,5,122.52,44.25,5422.09,100760.22,97.24
2025-09-05,06:21,TQQQ,DECREASE,0,113.84,46.85,5333.83,101056.04,386.17
2025-09-10,06:29,SQQQ,INCREASE,10,125.08,80.79,10105.6,101056.04,0.0
2025-09-10,12:52,SQQQ,DECREASE,0,125.08,82.04,10262.09,101212.53,156.49
2025-09-12,06:18,SQQQ,INCREASE,10,125.8,80.45,10121.25,101212.53,0.0
2025-09-15,06:16,SQQQ,INCREASE,15,65.9,79.06,5209.84,101036.99,0.0
2025-09-15,12:50,SQQQ,INCREASE,20,67.8,77.66,5265.85,100769.48,0.0
2025-09-16,06:17,SQQQ,INCREASE,25,65.84,77.37,5094.66,100694.56,0.0
2025-09-18,06:15,SQQQ,INCREASE,30,68.38,76.51,5231.98,100412.76,0.0
2025-09-18,12:50,SQQQ,INCREASE,35,66.43,76.32,5069.9,100336.98,0.0
2025-09-19,06:21,SQQQ,INCREASE,40,68.56,75.69,5189.56,100049.13,0.0
2025-09-19,12:50,SQQQ,INCREASE,45,70.22,74.82,5254.33,99591.18,0.0
2025-09-22,12:50,SQQQ,INCREASE,50,72.77,73.57,5354.23,98841.84,0.0
2025-09-25,06:17,SQQQ,DECREASE,0,671.72,77.43,52008.79,101429.71,217.18
2025-09-25,12:51,TQQQ,INCREASE,10,203.08,49.95,10142.97,101429.71,0.0
2025-09-29,06:17,TQQQ,DECREASE,0,203.08,51.31,10420.75,101707.49,277.78
2025-10-01,06:21,TQQQ,INCREASE,10,200.27,50.79,10170.75,101707.49,0.0
2025-10-02,06:15,TQQQ,DECREASE,0,200.27,53.32,10678.64,102215.37,507.89
2025-10-02,06:45,TQQQ,INCREASE,10,191.7,53.32,10221.54,102215.37,0.0
2025-10-03,06:33,TQQQ,DECREASE,0,191.7,53.14,10186.13,102179.97,-35.41
2025-10-10,12:55,TQQQ,INCREASE,15,316.29,48.46,15326.99,102179.97,0.0
2025-10-13,06:17,TQQQ,DECREASE,10,114.19,50.95,5818.11,102967.87,284.46
2025-10-15,06:33,TQQQ,DECREASE,0,202.1,51.99,10506.64,103177.72,713.29
2025-10-24,06:36,SQQQ,INCREASE,10,150.24,68.68,10317.77,103177.72,0.0
2025-10-27,06:15,SQQQ,INCREASE,20,161.88,65.84,10658.52,102751.79,0.0
2025-10-27,12:52,SQQQ,INCREASE,25,83.93,64.62,5423.65,102370.38,0.0
2025-10-28,06:32,SQQQ,INCREASE,30,82.75,63.98,5294.69,102118.71,0.0
2025-10-29,06:17,SQQQ,INCREASE,35,89.6,62.42,5592.73,101369.79,0.0
2025-10-30,12:53,SQQQ,DECREASE,20,252.77,65.25,16494.62,102981.23,-87.38
2025-10-31,06:21,SQQQ,INCREASE,25,91.19,62.81,5727.61,102209.84,0.0
2025-11-03,06:17,SQQQ,INCREASE,30,82.79,62.57,5180.09,102110.41,0.0
2025-11-04,06:35,SQQQ,DECREASE,0,489.61,66.18,32404.1,103881.38,791.04
2025-11-06,12:51,TQQQ,INCREASE,10,194.67,53.36,10388.14,103881.38,0.0
2025-11-07,06:21,TQQQ,INCREASE,15,102.02,52.43,5348.55,103699.65,0.0
2025-11-07,06:40,TQQQ,INCREASE,20,98.9,52.43,5184.98,103699.65,0.0
2025-11-10,06:15,TQQQ,DECREASE,0,395.59,55.13,21808.33,104768.04,886.66
2025-11-13,12:59,TQQQ,INCREASE,10,200.52,52.25,10476.8,104768.04,0.0
2025-11-14,06:21,TQQQ,INCREASE,15,112.93,49.91,5636.61,104299.56,0.0
2025-11-14,06:33,TQQQ,INCREASE,20,104.48,49.91,5214.98,104299.56,0.0
2025-11-17,12:52,TQQQ,INCREASE,25,96.01,50.95,4891.06,104731.45,0.0
2025-11-18,06:30,TQQQ,INCREASE,30,112.41,49.91,5610.14,104197.78,0.0
2025-11-20,06:15,TQQQ,DECREASE,20,225.15,52.87,11903.16,106052.02,461.54
2025-11-20,12:50,TQQQ,INCREASE,40,491.03,46.38,22772.64,103448.28,0.0
2025-11-21,06:25,TQQQ,INCREASE,45,106.39,46.78,4976.43,103804.62,0.0
